#
# ASCII IPA (Kirshenbaum) Symbols
#
# Version: 0.0.3
# Date:    2016-05-23
#
# Syntax:
# type,desc,xxxx,y
#
# type = consonant|vowel|diacritic|suprasegmental|tone
# desc = description of the IPA symbol
# xxxx = Unicode hexadecimal code point
#        N/A       = Unicode codepoint not available
#        xxxx      = single Unicode codepoint
#        xxxx xxxx = alternative Unicode codepoints, first is the canonical
#        xxxx_xxxx = sequence of Unicode codepoints
# y    = hex value 00yy of a single ASCII char or string of ASCII chars
#

#################
#   CONSONANT   #
#################

######################
#   plosive / stop   #
######################

#consonant,voiceless uvular          ejective-affricate,0071_0361_03C7_02BC 0071_035C_03C7_02BC





#############
#   VOWEL   #
#############

#############
#   close   #
#############

vowel,close     front       unrounded,0069,i
vowel,close     front         rounded,0079,y

vowel,close     central     unrounded,0268,i"
vowel,close     central       rounded,0289 00FC,u"

vowel,close     back        unrounded,026F,u-
vowel,close     back          rounded,0075,u

##################
#   near-close   #
##################

vowel,near-close near-front unrounded,026A 0069_033D,I
vowel,near-close near-front   rounded,028F 0079_033D,I.

#vowel,near-close central    unrounded,026A_0308 0268_031E 1D7B 0258_031D
#vowel,near-close central      rounded,028A_0308 0289_031E 1D7F

#vowel,near-close near-back unrounded,026F_033D 026F_031E_0308 028A_031C 03C9
vowel,near-close near-back   rounded,028A 0075_033D,U

#################
#   close-mid   #
#################

vowel,close-mid front       unrounded,0065,e
vowel,close-mid front         rounded,00F8,Y

vowel,close-mid central     unrounded,0258,@<umd>
vowel,close-mid central       rounded,0275,@.<umd>

vowel,close-mid back        unrounded,0264,o-
vowel,close-mid back          rounded,006F,o

###########
#   mid   #
###########

#vowel,mid       front       unrounded,0065_031E 025B_031D
#vowel,mid       front         rounded,00F8_031E 0153_031D

vowel,mid       central     unrounded,0259,@
#vowel,mid       central       rounded,0275_031E 0259_0339 025E_031D

#vowel,mid       back        unrounded,0264_031E 028C_031D
#vowel,mid       back          rounded,006F_031E 0254_031D

# NOT in IPA chart
#vowel,mid       central     unrounded rhotacized,025A 0259_02DE

################
#   open-mid   #
################

vowel,open-mid  front       unrounded,025B,E
vowel,open-mid  front         rounded,0153,W

vowel,open-mid  central     unrounded,025C 025B_0308,V"
vowel,open-mid  central       rounded,025E 0254_0308,O"

vowel,open-mid  back        unrounded,028C,V
vowel,open-mid  back          rounded,0254,O

# NOT in IPA chart
#vowel,open-mid  central     unrounded rhotacized,025D 028C_02DE

#################
#   near-open   #
#################

vowel,near-open front       unrounded,00E6,&
#vowel,near-open front         rounded,???

