#
# Kirshenbaum Symbols
#
# Version: 0.0.8
# Date:    2016-06-07
#
# Syntax:
# desc,unic,kirs
#voiceless alveolo-palatal ejective-fricative            consonant,0255_02BC
#voiceless velar           ejective-fricative            consonant,0078_02BC
#voiceless uvular          ejective-fricative            consonant,03C7_02BC

#voiceless alveolar        ejective-affricate            consonant,0074_0361_0073_02BC 0074_035C_0073_02BC
#voiceless alveolar        lateral-ejective-affricate    consonant,0074_0361_026C_02BC 0074_035C_026C_02BC
#voiceless palato-alveolar ejective-affricate            consonant,0074_0361_0283_02BC 0074_035C_0283_02BC
#voiceless retroflex       ejective-affricate            consonant,0288_0361_0282_02BC 0074_035C_0282_02BC
#voiceless palatal         lateral-ejective-affricate    consonant,0063_0361_028E_031D_0325_02BC 0063_035C_028E_031D_0325_02BC
#voiceless alveolo-palatal ejective-affricate            consonant,0074_0255_02BC
#voiceless velar           ejective-affricate            consonant,006B_0361_0078_02BC 006B_035C_0078_02BC
#voiceless velar           lateral-ejective-affricate    consonant,006B_0361_029F_031D_030A_02BC 006B_035C_029F_031D_030A_02BC
#voiceless uvular          ejective-affricate            consonant,0071_0361_03C7_02BC 0071_035C_03C7_02BC





#############
#   VOWEL   #
#############

#############
#   close   #
#############

close     front       unrounded vowel,0069,i
close     front         rounded vowel,0079,y
close     central     unrounded vowel,0268,i"
close     central       rounded vowel,0289 00FC,u"
close     back        unrounded vowel,026F,u-
close     back          rounded vowel,0075,u

##################
#   near-close   #
##################

near-close near-front unrounded vowel,026A 0069_033D,I
near-close near-front   rounded vowel,028F 0079_033D,I.
#near-close central    unrounded vowel,026A_0308 0268_031E 1D7B 0258_031D
#near-close central      rounded vowel,028A_0308 0289_031E 1D7F
#near-close near-back  unrounded vowel,026F_033D 026F_031E_0308 028A_031C 03C9
near-close near-back    rounded vowel,028A 0075_033D,U

#################
#   close-mid   #
#################

close-mid front       unrounded vowel,0065,e
close-mid front         rounded vowel,00F8,Y
close-mid central     unrounded vowel,0258,@<umd>
close-mid central       rounded vowel,0275,@.<umd>
close-mid back        unrounded vowel,0264,o-
close-mid back          rounded vowel,006F,o

###########
#   mid   #
###########

#mid       front       unrounded vowel,0065_031E 025B_031D
#mid       front         rounded vowel,00F8_031E 0153_031D
mid       central     unrounded vowel,0259,@
#mid       central       rounded vowel,0275_031E 0259_0339 025E_031D
#mid       back        unrounded vowel,0264_031E 028C_031D
#mid       back          rounded vowel,006F_031E 0254_031D

# NOT in IPA chart
#mid       central     unrounded rhotacized vowel,025A 0259_02DE

################
#   open-mid   #
################

open-mid  front       unrounded vowel,025B,E
open-mid  front         rounded vowel,0153,W
open-mid  central     unrounded vowel,025C 025B_0308,V"
open-mid  central       rounded vowel,025E 0254_0308,O"
open-mid  back        unrounded vowel,028C,V
open-mid  back          rounded vowel,0254,O

# NOT in IPA chart
#open-mid  central     unrounded rhotacized vowel,025D 028C_02DE

#################
#   near-open   #
#################

near-open front       unrounded vowel,00E6,&
#near-open front         rounded vowel,???
#near-open central     unrounded vowel,0250 0250_031C
#near-open central       rounded vowel,0250_0339 025E_031E 0254_031E_0308
#near-open back        unrounded vowel,???
#near-open back          rounded vowel,???

############
#   open   #
############

open      front       unrounded vowel,0061 0061_031F 00E6_031E,a
open      front         rounded vowel,0276,a.
#open      central     unrounded vowel,0061_0308 0061_0320 0251_0308 0250_031E
#open      central       rounded vowel,0252_0308 0276_0308 0276_0320
open      back        unrounded vowel,0251,A
open      back          rounded vowel,0252,A.





#################
#   DIACRITIC   #
#################

ejective                    diacritic,02BC,0060
#tie-bar-above               diacritic,0361
#tie-bar-below               diacritic,035C
voiceless                   diacritic,0325 030A,<o>
voiced                      diacritic,032C,<vcd>
aspirated                   diacritic,02B0,<h>
#more-rounded                diacritic,0339
#less-rounded                diacritic,031C
#advanced                    diacritic,031F
#retracted                   diacritic,0320
#centralized                 diacritic,0308
#mid-centralized             diacritic,033D
syllabic                    diacritic,0329,002D
#non-syllabic                diacritic,032F
#rhotacized                  diacritic,02DE
breathy-voiced              diacritic,0324,<?>
#creaky-voiced               diacritic,0330
linguolabial                diacritic,032B,<w>
labialized                  diacritic,02B7,<w>
palatalized                 diacritic,02B2,003B
velarized                   diacritic,02E0,007E
pharyngealized              diacritic,02E4,007E
velarized-or-pharyngealized diacritic,0334,007E
#raised                      diacritic,031D
#lowered                     diacritic,031E
#advanced-tongue-root        diacritic,0318
#retracted-tongue-root       diacritic,0319
dental                      diacritic,032A,005B
#apical                      diacritic,033A
#laminal                     diacritic,033B
nasalized                   diacritic,0303,007E
#nasal-release               diacritic,N/A
#lateral-release             diacritic,02E1
#no-audible-release          diacritic,031A 02FA

# NOT in IPA chart
voiced glottal fricative    diacritic,02B1,<?>
alveolar trill              diacritic,02B3,<r>
#alveolar approximant        diacritic,02B4
#retroflex approximant       diacritic,02B5
#uvular approximant          diacritic,02B6
glottal plosive             diacritic,02C0,<?>
retroflex                   diacritic,0322,002E
unexploded                  diacritic,02DA,<o>





######################
#   SUPRASEGMENTAL   #
######################

primary-stress              suprasegmental,02C8,0027
secondary-stress            suprasegmental,02CC,002C
long                        suprasegmental,02D0,003A
#half-long                   suprasegmental,02D1
#extra-short                 suprasegmental,0306
#minor-group                 suprasegmental,007C
#major-group                 suprasegmental,007C_007C
syllable-break              suprasegmental,002E,0023
#linking                     suprasegmental,203F
word-break                  suprasegmental,0020,0023





############
#   TONE   #
############

extra-high-level            tone,030B 02E5,0035
high-level                  tone,0301 02E6,0034
mid-level                   tone,0304 02E7,0033
low-level                   tone,0300 02E8,0032
extra-low-level             tone,030F 02E9,0031
rising-contour              tone,030C N/A,0035
falling-contour             tone,0302 N/A,0034
high-rising-contour         tone,1DC4 N/A,0033
low-rising-contour          tone,1DC5 N/A,0032
rising-falling-contour      tone,1DC8 N/A,0031
#downstep                    tone,A71C
#upstep                      tone,A71B
#global-rise                 tone,2197
#global-fall                 tone,2198

# NOT in IPA chart
#mid-low-falling-contour     tone,1DC6
#high-mid-falling-contour    tone,1DC7
#falling-rising-contour      tone,1DC9

