#
# IPA Symbols
#
# Version: 0.0.8
# Date:    2016-06-07
#
# Syntax:
# desc,unic
#
# desc = description of the IPA symbol
# unic = Unicode hexadecimal code point(s):
#        N/A       = Unicode codepoint not available
#        xxxx      = single Unicode codepoint
#        xxxx xxxx = alternative Unicode codepoints, the first is the canonical
#        xxxx_xxxx = sequence of Unicode codepoints
#
#
# Notes:
#   1. Articulations believed to be impossible are not listed
#voiceless labio-dental      trill consonant,???
#voiced    labio-dental      trill consonant,???
voiceless linguolabial      trill consonant,0072_033C_030A
voiced    linguolabial      trill consonant,0072_033C
voiceless dental            trill consonant,0072_032A_030A
voiced    dental            trill consonant,0072_032A
voiceless alveolar          trill consonant,0072_0325
voiced    alveolar          trill consonant,0072
#voiceless palato-alveolar   trill consonant,???
#voiced    palato-alveolar   trill consonant,???
voiceless retroflex         trill consonant,027D_0361_0072_0325 027D_035C_0072_0325
voiced    retroflex         trill consonant,027D_0361_0072 027D_035C_0072
voiceless uvular            trill consonant,0280_0325
voiced    uvular            trill consonant,0280
voiceless pharyngeal        trill consonant,029C
voiced    pharyngeal        trill consonant,02A2



#########################
#  lateral-affricate    #
#########################

#voiceless linguolabial      lateral-affricate consonant,???
#voiced    linguolabial      lateral-affricate consonant,???
#voiceless dental            lateral-affricate consonant,???
#voiced    dental            lateral-affricate consonant,???
voiceless alveolar          lateral-affricate consonant,0074_0361_026C 0074_035C_026C 0074_026C 019B
voiced    alveolar          lateral-affricate consonant,0064_0361_026E 0064_035C_026E 0064_026E 03BB
#voiceless palato-alveolar   lateral-affricate consonant,???
#voiced    palato-alveolar   lateral-affricate consonant,???
voiceless retroflex         lateral-affricate consonant,0288_035C_026D_030A_02D4 0288_0361_026D_030A_02D4 0288_026D_030A_02D4
#voiced    retroflex         lateral-affricate consonant,???
#voiceless alveolo-palatal   lateral-affricate consonant,???
#voiced    alveolo-palatal   lateral-affricate consonant,???
voiceless palatal           lateral-affricate consonant,0063_0361_028E_0325_02D4 0063_035C_028E_0325_02D4
#voiced    palatal           lateral-affricate consonant,???
voiceless velar             lateral-affricate consonant,006B_0361_029F_031D_030A 006B_035C_029F_031D_030A
voiced    velar             lateral-affricate consonant,0261_0361_029F_031D 0261_035C_029F_031D
#voiceless uvular            lateral-affricate consonant,???
#voiced    uvular            lateral-affricate consonant,???



#########################
#   lateral-fricative   #
#########################

#voiceless linguolabial      lateral-fricative consonant,???
#voiced    linguolabial      lateral-fricative consonant,???
#voiceless dental            lateral-fricative consonant,???
#voiced    dental            lateral-fricative consonant,???
voiceless alveolar          lateral-fricative consonant,026C
voiced    alveolar          lateral-fricative consonant,026E
#voiceless palato-alveolar   lateral-fricative consonant,???
#voiced    palato-alveolar   lateral-fricative consonant,???
voiceless retroflex         lateral-fricative consonant,026D_030A_02D4 A78E
#voiced    retroflex         lateral-fricative consonant,???
#voiceless alveolo-palatal   lateral-fricative consonant,???
#voiced    alveolo-palatal   lateral-fricative consonant,???
voiceless palatal           lateral-fricative consonant,028E_0325_02D4 F267
voiced    palatal           lateral-fricative consonant,028E_031D
voiceless velar             lateral-fricative consonant,029F_031D_030A F268
voiced    velar             lateral-fricative consonant,029F_031D
#voiceless uvular            lateral-fricative consonant,???
#voiced    uvular            lateral-fricative consonant,???



###########################
#   lateral-approximant   #
###########################

#voiceless linguolabial      lateral-approximant consonant,???
voiced    linguolabial      lateral-approximant consonant,006C_033C
voiceless dental            lateral-approximant consonant,006C_032A_030A
voiced    dental            lateral-approximant consonant,006C_032A
voiceless alveolar          lateral-approximant consonant,006C_0325
voiced    alveolar          lateral-approximant consonant,006C
voiceless palato-alveolar   lateral-approximant consonant,006C_0320_030A
voiced    palato-alveolar   lateral-approximant consonant,006C_0320
voiceless retroflex         lateral-approximant consonant,026D_030A
voiced    retroflex         lateral-approximant consonant,026D
#voiceless alveolo-palatal   lateral-approximant consonant,???
voiced    alveolo-palatal   lateral-approximant consonant,006C_0320_02B2 028E_031F 0234
voiceless palatal           lateral-approximant consonant,028E_0325
voiced    palatal           lateral-approximant consonant,028E
voiceless velar             lateral-approximant consonant,029F_0325
voiced    velar             lateral-approximant consonant,029F
#voiceless uvular            lateral-approximant consonant,???
voiced    uvular            lateral-approximant consonant,029F_0320



####################
#   lateral-flap   #
####################

#voiceless linguolabial      lateral-flap consonant,???
voiced    linguolabial      lateral-flap consonant,027A_033C
#voiceless dental            lateral-flap consonant,???
#voiced    dental            lateral-flap consonant,???
#voiceless alveolar          lateral-flap consonant,???
voiced    alveolar          lateral-flap consonant,027A
#voiceless palato-alveolar   lateral-flap consonant,???
#voiced    palato-alveolar   lateral-flap consonant,???
#voiceless retroflex         lateral-flap consonant,???
voiced    retroflex         lateral-flap consonant,026D_0306 027A_02DE
#voiceless alveolo-palatal   lateral-flap consonant,???
#voiced    alveolo-palatal   lateral-flap consonant,???
#voiceless palatal           lateral-flap consonant,???
voiced    palatal           lateral-flap consonant,028E_032E
#voiceless velar             lateral-flap consonant,???
voiced    velar             lateral-flap consonant,029F_0306
#voiceless uvular            lateral-flap consonant,???
#voiced    uvular            lateral-flap consonant,???



######################
#   co-articulated   #
######################

voiceless labio-velar           approximant         consonant,028D 0077_0325
voiced    labio-velar           approximant         consonant,0077 0075_032F
voiceless labio-palatal         approximant         consonant,0265_030A 006A_030A_02B7
voiced    labio-palatal         approximant         consonant,0265 006A_02B7
voiced    alveolar              lateral-approximant velarized consonant,006C_02E0 006C_02E4 026B
voiceless labio-velar           plosive             consonant,006B_0361_0070 006B_035C_0070 006B_0070
voiced    labio-velar           plosive             consonant,0261_0361_0062 0261_035C_0062 0261_0062
voiced    labio-velar           nasal               consonant,014B_0361_006D 014B_035C_006D 014B_006D
voiceless palato-alveolo-velar  sibilant-fricative  consonant,0267
voiceless labio-alveolar        plosive             consonant,0074_0361_0070 0074_035C_0070 0074_0070
voiced    labio-alveolar        plosive             consonant,0064_0361_0062 0064_035C_0062 0064_0062
voiced    labio-alveolar        nasal               consonant,006E_0361_006D 006E_035C_006D 006E_006D
voiced    uvulo-pharyngeal      plosive             consonant,0071_0361_02A1 0071_035C_02A1



##############
#   clicks   #
##############

voiceless bilabial          click           consonant,0298
voiced    bilabial          click           consonant,0298_032C 1DA2_0298
#voiced    nasal             click           consonant,0298_0303 1D51_0298
voiceless dental            click           consonant,01C0 0287
voiced    dental            click           consonant,01C0_032C 1DA2_01C0 0287_032C 1DA2_0287
voiced    dento-nasal       click           consonant,01C0_0303 1D51_01C0 0287_0303 1D51_0287
voiceless alveolar          click           consonant,01C3 0297
voiced    alveolar          click           consonant,01C3_032C 1DA2_01C3 0297_032C 1DA2_0297
voiced    alveolo-nasal     click           consonant,01C3_0303 1D51_01C3 0297_0303 1D51_0297
voiceless palatal           click           consonant,01C2 0284_0335
voiced    palatal           click           consonant,01C2_032C 1DA2_01C2
